address,is_ponzi,transactions_generated
15fcEUmKXBiScw2CDwKEre2YE8brvWPxVA,0,1
121E9w1ogmjowDbJmkmCuqqQGztJteR78A,0,1
12Hd6yd28NXoLuBYwqfncv3J7xXQnKKhGb,0,1
166uYUb7ogk1xyxSSYQzdXRefdbYJaMTjs,0,1
16Zf5yBa2BhitYZMdENxAfkPs244YTG7y4,0,1
17wLBifUVkmAovSbVGJcXTvsgUiSMa1rjx,0,1
1EyzXkzD4bRRJFwWs48rhtwe6WsE8bxARJ,0,1
14XDyg1YkQFEkjJEHGYS1x3MSGEnhhATtH,0,1
19QgdEbau15zQVNoTuMHtRRz4nsYv7mgSy,0,1
1PkiFqu4w85DDvZ1bTgyPKijw99bpHz3dD,0,1
18UGJzDev87mqZZxiAH3JyQNtXXpBT2HsS,0,1
1B7SvpLs2bmB8mGX2Bqdqn8UToTB1qgwUd,0,1
1MwLj2SfC1yEm8spki1d9SdhhXZR6gHprB,0,1
1BSmoCScpjyPbdnZV2ZUeCTX9Bae4VXiYS,0,1
1NkqZE4DA8h6Xbtz9GtJcfE1FcA8Z5yRJN,0,1
1Cz5hcRr2du74AF5MCvy8zKRFd4AyMBZjJ,0,1
1JUPzoHfzjrrFdQETfTixa6LXB4bH4BAC4,0,1
1GVjehxXUGK1hoV7Fq35PLu27o8nVpMwD7,0,1
1HjhBXfshDn73mKGLN9VAFDWD4vGTmbc3w,0,1
1FDDLBSKjg9exoEohjKznK6AX1hRMNEG94,0,1
1bxKRy21nwEUd7MaupgAC2rMJHSexE3PQ,0,1
13FvXaqpgqkNRmMd43JDdcYSJqRha32F8q,0,1
12Nz4NGjYPikWev6mEUd5S8fhynXaowge4,0,1
19sExim4VjwWLt8xAmiYqAm9kax44wZSKD,0,1
12QQ34rmJ68ooSEntKKhRQm5181vBnfsPK,0,1
16w9KgywKrdJaQMVQyWr313HLsxtJqJwat,0,1
169g8d2ocjasKr1WPM3PTeY31LECvogQB4,0,1
12WAu3D45TUVH8uPsVPNMN9DNpiDtmeENK,0,1
1DC4aQgLKCwgVfdyELAgFRURxo6rpQVKhX,0,1
1ENR3cKs3mcEyMBUSUfMrJRD8dMJZtkLUQ,0,1
12cU6GoRKxdWub61XQMPuLNkxmmqjnw2sJ,0,1
13QRsh88ewye6oAUzafZ6zZjtAV36JX14Q,0,1
1Pvt41pRmHF66RBA8hrHCQnmTJ5Rst7nqY,0,1
1Auvmqh2JEtJgMkNuujBCZR6vQCwDg2sgi,0,1
1AKPi9AvKftfRcw7FwESgf944frtuTyC3N,0,1
1C5auooyYS9dSrkzv5Y56u8zFDAWsucEna,0,1
1Kbx1Bfh4xnhRCoL7mpHs63Vks3p54DTTw,0,1
15ma5jJto3voRxBbweeBQuR9JWk4PSSHsg,0,1
16uoU4XVnCnwXUE42ALj1K3X72JPeF2d48,0,1
1Bf9ChN9Ck1aBKBdj7aTxyenxzHRHsTUSc,0,1
19itXj5FjgJG9cjebgTqCg5YW9oBjksEwN,0,1
1AoaLZMw5pyEBz3AAdosguHkLEZcNy1ZYn,0,1
1Mc57132WGeake8gBxGtCFtBzHkR1HAuey,0,1
13kagwRD3GtF6f7oL9rhC42HYCUT5S5yJY,0,1
1M2TE9WwayxZMyXsv4NDSx5i4WCFJwq9NE,0,1
16EeLa9BrZc1A4sasztaRdnfp3aU8DmuVC,0,1
1JEiqUSeUgfMPgoUvifWaqjUXZem4oDARa,0,1
1CSeF9fZiggN34CH9UE9MtsTfWRKaKQowS,0,1
1C44dqdpCh9ZPuLg4ayRbdaHegs5muVy22,0,1
1AjNKjzGtrnrziEzkypuU5aSRRK8cMm5UB,0,1
1WLSx7PP1uDavVVAn5UREMAkXxB6NPCUs,0,1
1K4ST8vyQfSf72jyLsbzg5U5rA2bY9fWSJ,0,1
1nggzuTDHDpCVZsEWcLsH8YfWGVDNyLxP,0,1
1N9adFvagHQ3WTufHLkZLtY3D4o9HmMEXW,0,1
1D7Zjogj8GV3qvLoDwiA9qjZ97sZZPzanp,0,1
1E5c6i2MjK1ErUyATWqQJXEtTgTuxUTsCc,0,1
1877QcZSEZrrRNR882xjPW65pKoUacZ5KX,0,1
1KhwVhc3Q4zmdX6ifVwyBxeZcUuzmmxyn1,0,1
13kv7pPW6yqMRpuxdNHzQKwmJss9z8Bcti,0,1
18QnbTgtTKxrXdsekQMMdAD7S7hvRQxcHb,0,1
122ehyPM3y7xFKyZGvtaS4P2yMwwgR3Aku,0,1
1LHejBRLEuZC5BET5qAwKayikQLFxEnz5M,0,1
1LEXtwNzTNdJ3fcDoEtnx7wsYiCMeZdBfN,0,1
1K7v2vXH7VWqs3DMmwwW225pq27toWyjFR,0,1
14DGbFh4SqDF9dvddfjM5m9sic5GoRExVV,0,1
1JgCwv54C9SPWfFdgQusW37QMcatSSUg6m,0,1
14zqVUcUu7xJPvocTAXCEYVAioGXzpnJTN,0,1
1D6qjERbXRJVqkzPD8C9BgdNWCpAkfwmXm,0,1
1HbRBT4qCyLwALg6cHgfitruAe3NfpGpTD,0,1
13P24j43vMMGFadD7dnbZCWapCxMnx67gN,0,1
1EMxwHMPZGBAUimFTNhcqtg5wJzHjcx1nm,0,1
1Ht4rVg3b5nakVaa83fkbjcYqmEpJXTXq1,0,1
1ezt4auq8JtxA2jiv4QGKZAjVrCiUXV1F,0,1
1GViH5ksvwfNnvKASB7wERXqbBAWk9PTmU,0,1
1NiKtELYAkahfPdQdKiJnvUxdGuk7H2YK,0,1
1EFotQdsKSR1dbDRdH4iFbHmtVax1TjNBi,0,1
1MWkxpvXTLcZsYzrmAsv9JCNDRJtn188ny,0,1
1EwnNdmmoeE5EbNgicLTQcjarpd7u9Fipb,0,1
12wAbWDRCw88VepQUvJTuxPDA8ujANvbtH,0,1
1KeA6FdWZ7DZW3v22f77mGGHtpnoNxzQfW,0,1
14utochrw9krxWpw2KUnVGZho1gL1NExt3,0,1
1KjP9b1tdeTv1u7b1pCPU81L7fJjNKqQR,0,1
1NYwdDHVM3R7YRi4g3X3esgDW2PiwPnk77,0,1
1Ca7eaWMo1ot3C5DRGDwx92hNpFePUrpzy,0,1
1nBr3Ag37jSbg3jMDuS6gmvcKA7f8xYoW,0,1
1C4yQzoK2Q8tQCLjCPC8DtDSBf62vf6mVR,0,1
1HpGwgep6VFLi5x3JtNPCiYtEwBNF6CHDj,0,1
19m4ccSDQk975x5xBHSx3f7A8oAcDDcUEq,0,1
1CA6kDNYBgTma8v6FdEaxN42BYSXtHyxTf,0,1
17MS6qKSXcHwSYf3DFA3rQpXMu6FRHFK1p,0,1
1G1KpJzZxiZ3R6A5rHLC3hs9vjcaoUQkfa,0,1
1DhHwmGGGZPK6uQ1MLX71ZL17HWsT1A5ua,0,1
1PsACmccnGAYT9ee19SCFZHibQ98Z4HcNw,0,1
17SPJ7SpYpGC8x9BBxu9wHoWuapVKytMnM,0,1
1Nj5MeCo2Qyk97iBcvQvjaksLgNiRs7L5H,0,1
1F35MvPKPSEc1L198dPR1weyXnkDG516fN,0,1
1FoWjUkEAZVZeHvrhhxC87E4NMuLbffKzw,0,1
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,0,1
16HjqnMo5vs4CgKNZ4Pkdje8NHtaHR5Vrx,0,1
1HYYrZfs2NRe4EkxQjYaBJezGEiSkFabjv,0,1
1EsSD5htpPEELgEWKJAJfAXRW1XpVKS7PC,0,1
1A3HkarNN9f6PH5JdjUTE1gRsSuK1TwYfY,0,1
12ys4qSPDtKi9mgdFTxb57gZSBthNdPhFS,0,1
14a7ndeYZRmF8RrCssXnLUeBn5k1GbhrZJ,0,1
17rANSTto6WCqLRooP1qp4vVSbUvMh6Ks5,0,1
1FCiddHMtH2uDN49z15ZJxLaZ3Z6gVvLn8,0,1
122nTe2oVFHivrPTMmbFCDDG1it5Ms7se1,0,1
15B8YDtb8AUvSKmWXDaQ44ox6sjLoamM1e,0,1
196p7qiFB5osRfk169VkfBfFKGMVFzWUmG,0,1
17sKq9t2ZHoc1JiyfGENAKwhQgUgZvsxSR,0,1
1DbQYvpXSVB7GXesCsxNVy1pv3hpevqWYv,0,1
17xmF7ZSUhM2PY9AqzT3oWeqeorUKiFBda,0,1
1LekJj3LY6QuybMJ638qcvyTMftiPS6XBD,0,1
